state,name,age,pop10,pop11,pop12,pop13,pop14,property
0,United States,0,3951330,3963071,3926665,3945610,3948350,10
1,Alabama,0,60026,59219,58621,57651,57854,10
2,Alaska,0,10910,11739,11090,11199,11157,10
3,Arizona,0,87979,84919,84593,85949,85876,10
5,Arkansas,0,38182,38324,38493,38052,37936,10
6,California,0,498284,507363,494548,502983,502993,10
8,Colorado,0,66479,66131,65000,65835,66471,10
9,Connecticut,0,37796,37833,37081,36597,36771,10
10,Delaware,0,10952,11295,11134,10995,11122,10
11,District of Columbia,0,7654,8945,8812,9197,9147,10
12,Florida,0,210560,213792,214764,213888,215254,10
13,Georgia,0,133761,132074,131438,129036,129104,10
15,Hawaii,0,17977,18978,18597,18658,18853,10
16,Idaho,0,23296,22744,22190,22744,22805,10
17,Illinois,0,162716,161046,158756,156692,156134,10
18,Indiana,0,83866,83138,82820,83112,82993,10
19,Iowa,0,38982,37895,38541,38802,38771,10
20,Kansas,0,40811,40068,39571,40344,39922,10
21,Kentucky,0,55350,55154,55111,55416,55075,10
22,Louisiana,0,61771,61620,61595,61556,61601,10
23,Maine,0,12975,12638,12814,12770,12709,10
24,Maryland,0,72015,73754,72938,73030,73284,10
25,Massachusetts,0,71417,73204,72218,72841,73200,10
26,Michigan,0,114295,113555,112732,112548,112448,10
27,Minnesota,0,68824,68679,68325,69445,69399,10
28,Mississippi,0,40202,39310,39116,38012,37872,10
29,Missouri,0,76115,75302,74564,74474,74184,10
30,Montana,0,12126,12001,12056,12212,12269,10
31,Nebraska,0,25969,25655,25721,25890,25903,10
32,Nevada,0,36073,35374,34342,34779,34862,10
33,New Hampshire,0,12855,13180,12548,12644,12561,10
34,New Jersey,0,105414,107214,105020,104664,104144,10
35,New Mexico,0,28188,27857,27090,26972,26870,10
36,New York,0,234064,242486,239032,239724,239804,10
37,North Carolina,0,123434,120758,119269,119911,119904,10
38,North Dakota,0,8870,9288,9956,10357,10788,10
39,Ohio,0,138313,136955,136692,137526,137250,10
40,Oklahoma,0,52120,52169,52000,52678,52631,10
41,Oregon,0,45595,45485,45051,45131,45383,10
42,Pennsylvania,0,141485,142785,141912,142225,141898,10
44,Rhode Island,0,10946,11032,11049,10888,10981,10
45,South Carolina,0,58879,57326,57447,56957,57439,10
46,South Dakota,0,11693,11908,11975,12258,12313,10
47,Tennessee,0,79108,77947,79780,79479,79506,10
48,Texas,0,381215,382588,378986,385906,387632,10
49,Utah,0,52042,51022,49590,51074,50629,10
50,Vermont,0,5933,6067,6104,5998,6023,10
51,Virginia,0,100666,102140,102484,102837,103122,10
53,Washington,0,86627,87440,87351,88548,88662,10
54,West Virginia,0,20162,20363,20581,20568,20347,10
55,Wisconsin,0,68684,67834,67690,66928,66880,10
56,Wyoming,0,7674,7478,7477,7630,7614,10
0,United States,1,3957888,3966510,3978006,3943077,3962123,10
1,Alabama,1,59774,60274,59441,58893,58028,10
2,Alaska,1,10966,10779,11618,10910,11048,10
3,Arizona,1,88803,87541,84624,84484,85845,10
5,Arkansas,1,38580,38275,38426,38594,38151,10
6,California,1,494878,499894,508711,495871,504342,10
8,Colorado,1,67311,66902,66593,65473,66335,10
9,Connecticut,1,38695,38215,38273,37554,37081,10
10,Delaware,1,10903,11072,11403,11233,11092,10
11,District of Columbia,1,6794,7650,8837,8544,8966,10
12,Florida,1,209295,211576,214873,215857,214944,10
13,Georgia,1,133416,134513,132708,132233,129915,10
15,Hawaii,1,17646,17911,18864,18362,18462,10
16,Idaho,1,23907,23127,22635,22120,22721,10
17,Illinois,1,163053,162310,160631,158463,156360,10
18,Indiana,1,84657,84328,83591,83397,83660,10
19,Iowa,1,39543,39174,38091,38788,39007,10
20,Kansas,1,40654,40779,40056,39582,40353,10
21,Kentucky,1,55304,55568,55330,55309,55600,10
22,Louisiana,1,61957,61943,61759,61735,61670,10
23,Maine,1,13316,13064,12740,12932,12872,10
24,Maryland,1,71776,72528,74242,73373,73552,10
25,Massachusetts,1,71616,71840,73638,72631,73225,10
26,Michigan,1,115506,114806,114091,113363,113175,10
27,Minnesota,1,69396,69236,69100,68793,69915,10
28,Mississippi,1,41179,40214,39348,39208,38086,10
29,Missouri,1,76418,76196,75403,74737,74647,10
30,Montana,1,12334,12085,11986,12062,12207,10
31,Nebraska,1,26153,26077,25768,25863,26012,10
32,Nevada,1,36540,35828,35214,34258,34778,10
33,New Hampshire,1,13352,12927,13271,12631,12765,10
34,New Jersey,1,105129,106253,108019,105869,105577,10
35,New Mexico,1,28518,28407,28067,27332,27192,10
