DIVISION,STATE,NAME,SEX,AGE,POPEST2014_CIV
0,0,United States,0,0,3948350
0,0,United States,0,1,3962123
0,0,United States,0,2,3957772
0,0,United States,0,3,4005190
0,0,United States,0,4,4003448
0,0,United States,0,5,4004858
0,0,United States,0,6,4134352
0,0,United States,0,7,4154000
0,0,United States,0,8,4119524
0,0,United States,0,9,4106832
0,0,United States,0,10,4115254
0,0,United States,0,11,4085636
0,0,United States,0,12,4068790
0,0,United States,0,13,4169346
0,0,United States,0,14,4232480
0,0,United States,0,15,4163723
0,0,United States,0,16,4167234
0,0,United States,0,17,4184077
0,0,United States,0,18,4209973
0,0,United States,0,19,4274100
0,0,United States,0,20,4353919
0,0,United States,0,21,4418106
0,0,United States,0,22,4537358
0,0,United States,0,23,4625145
0,0,United States,0,24,4622549
0,0,United States,0,25,4445674
0,0,United States,0,26,4345824
0,0,United States,0,27,4276071
0,0,United States,0,28,4298220
0,0,United States,0,29,4337242
0,0,United States,0,30,4204555
0,0,United States,0,31,4274545
0,0,United States,0,32,4279181
0,0,United States,0,33,4238291
0,0,United States,0,34,4327332
0,0,United States,0,35,4060723
0,0,United States,0,36,3983377
0,0,United States,0,37,3944638
0,0,United States,0,38,3831675
0,0,United States,0,39,3954384
0,0,United States,0,40,3834416
0,0,United States,0,41,3896141
0,0,United States,0,42,4076296
0,0,United States,0,43,4313988
0,0,United States,0,44,4373174
0,0,United States,0,45,4148659
0,0,United States,0,46,4065488
0,0,United States,0,47,4072981
0,0,United States,0,48,4151130
0,0,United States,0,49,4402564
0,0,United States,0,50,4486171
0,0,United States,0,51,4484514
0,0,United States,0,52,4477147
0,0,United States,0,53,4533392
0,0,United States,0,54,4572917
0,0,United States,0,55,4420322
0,0,United States,0,56,4394523
0,0,United States,0,57,4346438
0,0,United States,0,58,4191151
0,0,United States,0,59,4155005
0,0,United States,0,60,3985150
0,0,United States,0,61,3834276
0,0,United States,0,62,3685772
0,0,United States,0,63,3572353
0,0,United States,0,64,3488075
0,0,United States,0,65,3384449
0,0,United States,0,66,3347776
0,0,United States,0,67,3485502
0,0,United States,0,68,2572527
0,0,United States,0,69,2535012
0,0,United States,0,70,2466485
0,0,United States,0,71,2519748
0,0,United States,0,72,2194234
0,0,United States,0,73,2002191
0,0,United States,0,74,1890366
0,0,United States,0,75,1774697
0,0,United States,0,76,1694648
0,0,United States,0,77,1557239
0,0,United States,0,78,1481505
0,0,United States,0,79,1414235
0,0,United States,0,80,1264072
0,0,United States,0,81,1216009
0,0,United States,0,82,1153634
0,0,United States,0,83,1090465
0,0,United States,0,84,1036186
0,0,United States,0,85,6162231
0,0,United States,0,999,317631125
0,0,United States,1,0,2017857
0,0,United States,1,1,2023253
0,0,United States,1,2,2022502
0,0,United States,1,3,2048618
0,0,United States,1,4,2043498
0,0,United States,1,5,2043467
0,0,United States,1,6,2110328
0,0,United States,1,7,2122240
0,0,United States,1,8,2105122
0,0,United States,1,9,2097272
0,0,United States,1,10,2099874
0,0,United States,1,11,2083687
0,0,United States,1,12,2075243
0,0,United States,1,13,2128187
0,0,United States,1,14,2164228
0,0,United States,1,15,2128424
0,0,United States,1,16,2130938
0,0,United States,1,17,2138356
0,0,United States,1,18,2152330
0,0,United States,1,19,2176832
0,0,United States,1,20,2214800
0,0,United States,1,21,2250405
0,0,United States,1,22,2304963
0,0,United States,1,23,2338690
0,0,United States,1,24,2333175
0,0,United States,1,25,2242665
0,0,United States,1,26,2189492
0,0,United States,1,27,2152996
0,0,United States,1,28,2162102
0,0,United States,1,29,2175700
0,0,United States,1,30,2101329
0,0,United States,1,31,2132843
0,0,United States,1,32,2131589
0,0,United States,1,33,2108839
0,0,United States,1,34,2162330
0,0,United States,1,35,2019067
0,0,United States,1,36,1978529
0,0,United States,1,37,1953898
0,0,United States,1,38,1898939
0,0,United States,1,39,1964072
0,0,United States,1,40,1896789
0,0,United States,1,41,1921390
0,0,United States,1,42,2014219
0,0,United States,1,43,2131605
0,0,United States,1,44,2170755
0,0,United States,1,45,2056188
0,0,United States,1,46,2013434
0,0,United States,1,47,2011428
0,0,United States,1,48,2051541
0,0,United States,1,49,2174328
0,0,United States,1,50,2207130
0,0,United States,1,51,2201906
0,0,United States,1,52,2195581
0,0,United States,1,53,2217669
0,0,United States,1,54,2241310
0,0,United States,1,55,2157203
0,0,United States,1,56,2139953
0,0,United States,1,57,2109557
0,0,United States,1,58,2027481
0,0,United States,1,59,2006583
0,0,United States,1,60,1913854
0,0,United States,1,61,1836958
0,0,United States,1,62,1763466
0,0,United States,1,63,1701803
0,0,United States,1,64,1661418
0,0,United States,1,65,1607688
0,0,United States,1,66,1589127
0,0,United States,1,67,1653257
0,0,United States,1,68,1211480
0,0,United States,1,69,1187554
0,0,United States,1,70,1149247
0,0,United States,1,71,1169356
0,0,United States,1,72,1010896
